50,79
55,81
60,84
65,86
70,88
75,90
80,92
85,93
90,95
95,96
0,97
5,98
10,99
15,99
20,99
25,100
30,99
35,99
40,99
45,98
50,97
55,96
60,95
65,93
70,92
75,90
80,88
85,86
90,84
95,81
0,79
5,76
10,74
15,71
20,68
25,65
30,62
35,59
40,56
45,53
50,50
55,46
60,43
65,40
70,37
75,34
80,31
85,28
90,25
95,23
0,20
5,18
10,15
15,13
20,11
25,9
30,7
35,6
40,4
45,3
50,2
55,1
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,1
0,2
5,3
10,4
15,6
20,7
25,9
30,11
35,13
40,15
45,18
50,20
55,23
60,25
65,28
70,31
75,34
80,37
85,40
90,43
95,46
0,50
5,53
10,56
15,59
20,62
25,65
30,68
35,71
40,74
45,76
50,79
55,81
60,84
65,86
70,88
75,90
80,92
85,93
90,95
95,96
0,97
5,98
10,99
15,99
20,99
25,100
30,99
35,99
40,99
45,98
50,97
55,96
60,95
65,93
70,92
75,90
80,88
85,86
90,84
95,81
0,79
5,76
10,74
15,71
20,68
25,65
30,62
35,59
40,56
45,53
50,50
55,46
60,43
65,40
70,37
75,34
80,31
85,28
90,25
95,23
0,20
5,18
10,15
15,13
20,11
25,9
30,7
35,6
40,4
45,3
50,2
55,1
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,1
0,2
5,3
10,4
15,6
20,7
25,9
30,11
35,13
40,15
45,18
50,20
55,23
60,25
65,28
70,31
75,34
80,37
85,40
90,43
95,46
0,50
5,53
10,56
15,59
20,62
25,65
30,68
35,71
40,74
45,76
50,79
55,81
60,84
65,86
70,88
75,90
80,92
85,93
90,95
95,96
0,97
5,98
10,99
15,99
20,99
25,100
30,99
35,99
40,99
45,98
50,97
55,96
60,95
65,93
70,92
75,90
80,88
85,86
90,84
95,81
0,79
5,76
10,74
15,71
20,68
25,65
30,62
35,59
40,56
45,53
50,50
55,46
60,43
65,40
70,37
75,34
80,31
85,28
90,25
95,23
0,20
5,18
10,15
15,13
20,11
25,9
30,7
35,6
40,4
45,3
50,2
55,1
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,1
0,2
5,3
10,4
15,6
20,7
25,9
30,11
35,13
40,15
45,18
50,20
55,23
60,25
65,28
70,31
75,34
80,37
85,40
90,43
95,46
0,50
5,53
10,56
15,59
20,62
25,65
30,68
35,71
40,74
45,76
50,79
55,81
60,84
65,86
70,88
75,90
80,92
85,93
90,95
95,96
0,97
5,98
10,99
15,99
20,99
25,100
30,99
35,99
40,99
45,98
50,97
55,96
60,95
65,93
70,92
75,90
80,88
85,86
90,84
95,81
0,79
5,76
10,74
15,71
20,68
25,65
30,62
35,59
40,56
45,53
50,50
55,46
60,43
65,40
70,37
75,34
80,31
85,28
90,25
95,23
0,20
5,18
10,15
15,13
20,11
25,9
30,7
35,6
40,4
45,3
50,2
55,1
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,1
0,2
5,3
10,4
15,6
20,7
25,9
30,11
35,13
40,15
45,18
50,20
55,23
60,25
65,28
70,31
75,34
80,37
85,40
90,43
95,46
